"","chr","start","CHR_POS","region"
"2546","NC_031768.1",33873768,"NC_031768.1_33873768","Up- or downstream"
"2660","NC_031768.1",35496579,"NC_031768.1_35496579","Up- or downstream"
"2662","NC_031768.1",35496621,"NC_031768.1_35496621","Up- or downstream"
"2664","NC_031768.1",36526499,"NC_031768.1_36526499","Intergenic"
"2667","NC_031768.1",36526530,"NC_031768.1_36526530","Intergenic"
"2673","NC_031768.1",36526622,"NC_031768.1_36526622","Intergenic"
"2723","NC_031768.1",37614809,"NC_031768.1_37614809","Gene body"
"2927","NC_031768.1",38652866,"NC_031768.1_38652866","Up- or downstream"
"2941","NC_031768.1",38811149,"NC_031768.1_38811149","Intergenic"
"2942","NC_031768.1",38811215,"NC_031768.1_38811215","Intergenic"
"2951","NC_031768.1",39692551,"NC_031768.1_39692551","Intergenic"
"2978","NC_031768.1",39804878,"NC_031768.1_39804878","TSS"
"2979","NC_031768.1",39805089,"NC_031768.1_39805089","TSS"
"2982","NC_031768.1",40214135,"NC_031768.1_40214135","Gene body"
"2983","NC_031768.1",40214145,"NC_031768.1_40214145","Gene body"
"2984","NC_031768.1",40214214,"NC_031768.1_40214214","Gene body"
"2985","NC_031768.1",40214246,"NC_031768.1_40214246","Gene body"
"2986","NC_031768.1",40214268,"NC_031768.1_40214268","Gene body"
"2987","NC_031768.1",40214327,"NC_031768.1_40214327","Gene body"
"2988","NC_031768.1",40214330,"NC_031768.1_40214330","Gene body"
"3119","NC_031768.1",40749413,"NC_031768.1_40749413","Up- or downstream"
"3133","NC_031768.1",41583589,"NC_031768.1_41583589","Intergenic"
"3177","NC_031768.1",43574029,"NC_031768.1_43574029","Up- or downstream"
"3178","NC_031768.1",44128567,"NC_031768.1_44128567","Intergenic"
"3180","NC_031768.1",45033377,"NC_031768.1_45033377","Intergenic"
"3335","NC_031768.1",48382469,"NC_031768.1_48382469","Up- or downstream"
"3345","NC_031768.1",48426314,"NC_031768.1_48426314","Promoter"
"3354","NC_031768.1",48899050,"NC_031768.1_48899050","Up- or downstream"
"3374","NC_031768.1",48973958,"NC_031768.1_48973958","Gene body"
"3375","NC_031768.1",48973960,"NC_031768.1_48973960","Gene body"
"3378","NC_031768.1",48974021,"NC_031768.1_48974021","Gene body"
"3381","NC_031768.1",49020608,"NC_031768.1_49020608","Intergenic"
"3417","NC_031768.1",49778167,"NC_031768.1_49778167","Up- or downstream"
"3427","NC_031768.1",50296851,"NC_031768.1_50296851","TSS"
"3513","NC_031768.1",58052326,"NC_031768.1_58052326","Intergenic"
"3514","NC_031768.1",58052379,"NC_031768.1_58052379","Intergenic"
"3577","NC_031768.1",59719050,"NC_031768.1_59719050","Intergenic"
"3580","NC_031768.1",59719102,"NC_031768.1_59719102","Intergenic"
"3601","NC_031768.1",60124257,"NC_031768.1_60124257","Intergenic"
"3606","NC_031768.1",60390693,"NC_031768.1_60390693","Up- or downstream"
"3608","NC_031768.1",60510649,"NC_031768.1_60510649","Intergenic"
"3609","NC_031768.1",60510653,"NC_031768.1_60510653","Intergenic"
"3611","NC_031768.1",60510756,"NC_031768.1_60510756","Intergenic"
"3631","NC_031768.1",60938828,"NC_031768.1_60938828","Intergenic"
"3665","NC_031768.1",61824768,"NC_031768.1_61824768","Gene body"
"3702","NC_031768.1",62044453,"NC_031768.1_62044453","Gene body"
"3709","NC_031768.1",62369529,"NC_031768.1_62369529","Up- or downstream"
"3711","NC_031768.1",62369586,"NC_031768.1_62369586","Up- or downstream"
"3758","NC_031768.1",62995485,"NC_031768.1_62995485","Gene body"
"3760","NC_031768.1",62995505,"NC_031768.1_62995505","Gene body"
"3857","NC_031768.1",64774727,"NC_031768.1_64774727","Gene body"
"3885","NC_031768.1",64921825,"NC_031768.1_64921825","Intergenic"
"3886","NC_031768.1",64921843,"NC_031768.1_64921843","Intergenic"
"3887","NC_031768.1",64921856,"NC_031768.1_64921856","Intergenic"
"3945","NC_031768.1",64992161,"NC_031768.1_64992161","Gene body"
"3999","NC_031768.1",67310353,"NC_031768.1_67310353","Intergenic"
"4066","NC_031768.1",67486329,"NC_031768.1_67486329","Intergenic"
"4067","NC_031768.1",67486336,"NC_031768.1_67486336","Intergenic"
"4070","NC_031768.1",67486400,"NC_031768.1_67486400","Intergenic"
"4159","NC_031768.1",68387241,"NC_031768.1_68387241","Promoter"
"4160","NC_031768.1",68387243,"NC_031768.1_68387243","Promoter"
"4177","NC_031768.1",68414325,"NC_031768.1_68414325","Intergenic"
"4180","NC_031768.1",68414751,"NC_031768.1_68414751","Intergenic"
"4181","NC_031768.1",68414768,"NC_031768.1_68414768","Intergenic"
"4182","NC_031768.1",68414772,"NC_031768.1_68414772","Intergenic"
"4183","NC_031768.1",68414856,"NC_031768.1_68414856","Intergenic"
"4184","NC_031768.1",68414866,"NC_031768.1_68414866","Intergenic"
"4187","NC_031768.1",68414904,"NC_031768.1_68414904","Intergenic"
"4188","NC_031768.1",68414911,"NC_031768.1_68414911","Intergenic"
"4189","NC_031768.1",68414928,"NC_031768.1_68414928","Intergenic"
"4191","NC_031768.1",68415144,"NC_031768.1_68415144","Intergenic"
"4192","NC_031768.1",68415194,"NC_031768.1_68415194","Intergenic"
"4237","NC_031768.1",68603668,"NC_031768.1_68603668","Promoter"
"4238","NC_031768.1",68603675,"NC_031768.1_68603675","Promoter"
"4239","NC_031768.1",68603687,"NC_031768.1_68603687","Promoter"
"4240","NC_031768.1",68603704,"NC_031768.1_68603704","Promoter"
"4241","NC_031768.1",68603710,"NC_031768.1_68603710","Promoter"
"4242","NC_031768.1",68603717,"NC_031768.1_68603717","Promoter"
"4245","NC_031768.1",68603777,"NC_031768.1_68603777","Promoter"
"4247","NC_031768.1",68603795,"NC_031768.1_68603795","Promoter"
"4248","NC_031768.1",68603831,"NC_031768.1_68603831","Promoter"
"4250","NC_031768.1",68603854,"NC_031768.1_68603854","Promoter"
"4253","NC_031768.1",68603868,"NC_031768.1_68603868","Promoter"
"4254","NC_031768.1",68751635,"NC_031768.1_68751635","Intergenic"
"4275","NC_031768.1",69075598,"NC_031768.1_69075598","Promoter"
"4277","NC_031768.1",69075661,"NC_031768.1_69075661","Gene body"
"4281","NC_031768.1",69075753,"NC_031768.1_69075753","Gene body"
"4389","NC_031768.1",70331908,"NC_031768.1_70331908","Intergenic"
"4446","NC_031768.1",70681240,"NC_031768.1_70681240","Intergenic"
"4494","NC_031768.1",71100570,"NC_031768.1_71100570","Gene body"
"4496","NC_031768.1",71100688,"NC_031768.1_71100688","Gene body"
"4542","NC_031768.1",71752580,"NC_031768.1_71752580","Gene body"
"4558","NC_031768.1",71911888,"NC_031768.1_71911888","Up- or downstream"
"4595","NC_031768.1",72664232,"NC_031768.1_72664232","Up- or downstream"
"4657","NC_031768.1",73348905,"NC_031768.1_73348905","Gene body"
"4661","NC_031768.1",73349034,"NC_031768.1_73349034","Gene body"
"4662","NC_031768.1",73349046,"NC_031768.1_73349046","Gene body"
"4671","NC_031768.1",74692193,"NC_031768.1_74692193","Promoter"
"4820","NC_031768.1",76976725,"NC_031768.1_76976725","Gene body"
"4822","NC_031768.1",77069845,"NC_031768.1_77069845","Gene body"
"4867","NC_031768.1",77666737,"NC_031768.1_77666737","Intergenic"
"4915","NC_031768.1",78452753,"NC_031768.1_78452753","Intergenic"
"4925","NC_031768.1",79407765,"NC_031768.1_79407765","Gene body"
"4932","NC_031768.1",80626994,"NC_031768.1_80626994","Gene body"
"4992","NC_031768.1",84329539,"NC_031768.1_84329539","Gene body"
"4996","NC_031768.1",84329690,"NC_031768.1_84329690","Gene body"
"5022","NC_031768.1",84479768,"NC_031768.1_84479768","Up- or downstream"
"5024","NC_031768.1",84484130,"NC_031768.1_84484130","Up- or downstream"
"5088","NC_031768.1",85072936,"NC_031768.1_85072936","Intergenic"
"5090","NC_031768.1",85423069,"NC_031768.1_85423069","Intergenic"
"5093","NC_031768.1",85492897,"NC_031768.1_85492897","Up- or downstream"
"5095","NC_031768.1",85493025,"NC_031768.1_85493025","Up- or downstream"
"5104","NC_031768.1",85651158,"NC_031768.1_85651158","Gene body"
"5108","NC_031768.1",85651228,"NC_031768.1_85651228","Gene body"
"5116","NC_031768.1",85651342,"NC_031768.1_85651342","Gene body"
"5117","NC_031768.1",85651347,"NC_031768.1_85651347","Gene body"
"5118","NC_031768.1",85651354,"NC_031768.1_85651354","Gene body"
"5199","NC_031768.1",86753364,"NC_031768.1_86753364","Promoter"
"5201","NC_031768.1",86753420,"NC_031768.1_86753420","Promoter"
"5214","NC_031768.1",86802582,"NC_031768.1_86802582","Intergenic"
"5232","NC_031768.1",86945193,"NC_031768.1_86945193","Intergenic"
"5243","NC_031768.1",87009064,"NC_031768.1_87009064","Intergenic"
"5305","NC_031768.1",87226349,"NC_031768.1_87226349","Intergenic"
"5306","NC_031768.1",87226470,"NC_031768.1_87226470","Intergenic"
"5311","NC_031768.1",87232506,"NC_031768.1_87232506","Intergenic"
"5337","NC_031768.1",87232702,"NC_031768.1_87232702","Intergenic"
"5385","NC_031768.1",87357948,"NC_031768.1_87357948","Intergenic"
"5387","NC_031768.1",87357955,"NC_031768.1_87357955","Intergenic"
"5392","NC_031768.1",87358061,"NC_031768.1_87358061","Intergenic"
"5396","NC_031768.1",87358132,"NC_031768.1_87358132","Intergenic"
"5436","NC_031768.1",87403963,"NC_031768.1_87403963","Gene body"
"5450","NC_031768.1",87447452,"NC_031768.1_87447452","Gene body"
"5532","NC_031768.1",87675896,"NC_031768.1_87675896","Promoter"
"5569","NC_031768.1",88072557,"NC_031768.1_88072557","Intergenic"
"5575","NC_031768.1",88156187,"NC_031768.1_88156187","Promoter"
"5577","NC_031768.1",88156205,"NC_031768.1_88156205","Promoter"
"5578","NC_031768.1",88156212,"NC_031768.1_88156212","Promoter"
"5743","NC_031768.1",88928036,"NC_031768.1_88928036","Gene body"
"5744","NC_031768.1",88928059,"NC_031768.1_88928059","Gene body"
"5749","NC_031768.1",88928118,"NC_031768.1_88928118","Gene body"
"5784","NC_031768.1",89195734,"NC_031768.1_89195734","Intergenic"
"5786","NC_031768.1",89341561,"NC_031768.1_89341561","Gene body"
"5815","NC_031768.1",89480712,"NC_031768.1_89480712","Gene body"
"5816","NC_031768.1",89651891,"NC_031768.1_89651891","Up- or downstream"
"5817","NC_031768.1",89651922,"NC_031768.1_89651922","Up- or downstream"
"5819","NC_031768.1",89651957,"NC_031768.1_89651957","Up- or downstream"
"5820","NC_031768.1",89651967,"NC_031768.1_89651967","Up- or downstream"
"5821","NC_031768.1",89652037,"NC_031768.1_89652037","Up- or downstream"
"5822","NC_031768.1",89652069,"NC_031768.1_89652069","Up- or downstream"
"5823","NC_031768.1",89652088,"NC_031768.1_89652088","Up- or downstream"
"5824","NC_031768.1",89652095,"NC_031768.1_89652095","Up- or downstream"
"5825","NC_031768.1",89652099,"NC_031768.1_89652099","Up- or downstream"
"5826","NC_031768.1",89652102,"NC_031768.1_89652102","Up- or downstream"
"5831","NC_031768.1",89663338,"NC_031768.1_89663338","TSS"
"5851","NC_031768.1",89773067,"NC_031768.1_89773067","Intergenic"
"5854","NC_031768.1",89773144,"NC_031768.1_89773144","Intergenic"
"5861","NC_031768.1",89827584,"NC_031768.1_89827584","Intergenic"
"5865","NC_031768.1",89870715,"NC_031768.1_89870715","Intergenic"
"5882","NC_031768.1",89959054,"NC_031768.1_89959054","Gene body"
"5928","NC_031768.1",90519393,"NC_031768.1_90519393","Up- or downstream"
"5948","NC_031768.1",91724823,"NC_031768.1_91724823","Gene body"
"5950","NC_031768.1",91724925,"NC_031768.1_91724925","Gene body"
"5951","NC_031768.1",91725001,"NC_031768.1_91725001","Gene body"
"5957","NC_031768.1",91984420,"NC_031768.1_91984420","Intergenic"
"5958","NC_031768.1",91984433,"NC_031768.1_91984433","Intergenic"
"5967","NC_031768.1",92327301,"NC_031768.1_92327301","Gene body"
"6000","NC_031768.1",92694585,"NC_031768.1_92694585","Up- or downstream"
"6021","NC_031768.1",92766719,"NC_031768.1_92766719","Promoter"
"6047","NC_031768.1",92901041,"NC_031768.1_92901041","Intergenic"
"6054","NC_031768.1",92904464,"NC_031768.1_92904464","Intergenic"
"6119","NC_031768.1",93687472,"NC_031768.1_93687472","Promoter"
"6120","NC_031768.1",93687481,"NC_031768.1_93687481","Promoter"
"6124","NC_031768.1",93687512,"NC_031768.1_93687512","Promoter"
"6331","NC_031768.1",96881133,"NC_031768.1_96881133","Gene body"
"6363","NC_031768.1",97918557,"NC_031768.1_97918557","Promoter"
"6365","NC_031768.1",97918582,"NC_031768.1_97918582","Promoter"
"6366","NC_031768.1",97918588,"NC_031768.1_97918588","Promoter"
"6367","NC_031768.1",97918603,"NC_031768.1_97918603","Promoter"
"6368","NC_031768.1",97918622,"NC_031768.1_97918622","Promoter"
"6369","NC_031768.1",97918634,"NC_031768.1_97918634","Promoter"
"6374","NC_031768.1",97918716,"NC_031768.1_97918716","Promoter"
"6376","NC_031768.1",97918760,"NC_031768.1_97918760","Promoter"
"6407","NC_031768.1",98243884,"NC_031768.1_98243884","Promoter"
"6457","NC_031768.1",98505976,"NC_031768.1_98505976","Intergenic"
"6512","NC_031768.1",100923282,"NC_031768.1_100923282","Intergenic"
"6725","NC_031768.1",103133871,"NC_031768.1_103133871","Intergenic"
"6732","NC_031768.1",103151060,"NC_031768.1_103151060","Intergenic"
"6734","NC_031768.1",103151268,"NC_031768.1_103151268","Intergenic"
"6947","NC_031768.1",109356173,"NC_031768.1_109356173","Up- or downstream"
"7044","NC_031768.1",109733427,"NC_031768.1_109733427","Gene body"
"7085","NC_031768.1",110820439,"NC_031768.1_110820439","Intergenic"
"7086","NC_031768.1",110820595,"NC_031768.1_110820595","Intergenic"
"7133","NC_031768.1",111794636,"NC_031768.1_111794636","Intergenic"
"7189","NC_031768.1",112391457,"NC_031768.1_112391457","Gene body"
"7191","NC_031768.1",112391546,"NC_031768.1_112391546","Gene body"
"7193","NC_031768.1",112391572,"NC_031768.1_112391572","Gene body"
"7194","NC_031768.1",112391599,"NC_031768.1_112391599","Gene body"
"7195","NC_031768.1",112391623,"NC_031768.1_112391623","Gene body"
"7196","NC_031768.1",112391639,"NC_031768.1_112391639","Gene body"
"7197","NC_031768.1",112391652,"NC_031768.1_112391652","Gene body"
"7207","NC_031768.1",112472451,"NC_031768.1_112472451","Intergenic"
"7210","NC_031768.1",112472563,"NC_031768.1_112472563","Intergenic"
"7218","NC_031768.1",112772279,"NC_031768.1_112772279","Gene body"
"7219","NC_031768.1",112772297,"NC_031768.1_112772297","Gene body"
"7223","NC_031768.1",112772348,"NC_031768.1_112772348","Gene body"
"7225","NC_031768.1",112772395,"NC_031768.1_112772395","Gene body"
"7227","NC_031768.1",112814946,"NC_031768.1_112814946","Gene body"
"7243","NC_031768.1",113109475,"NC_031768.1_113109475","Intergenic"
"7289","NC_031768.1",113298765,"NC_031768.1_113298765","Gene body"
"7335","NC_031768.1",113658572,"NC_031768.1_113658572","Intergenic"
"7340","NC_031768.1",113658880,"NC_031768.1_113658880","Intergenic"
"7412","NC_031768.1",113993421,"NC_031768.1_113993421","Up- or downstream"
"7421","NC_031768.1",113993572,"NC_031768.1_113993572","Up- or downstream"
"7423","NC_031768.1",113993593,"NC_031768.1_113993593","Up- or downstream"
"7428","NC_031768.1",113993674,"NC_031768.1_113993674","Up- or downstream"
"7451","NC_031768.1",114044686,"NC_031768.1_114044686","Up- or downstream"
"7452","NC_031768.1",114044696,"NC_031768.1_114044696","Up- or downstream"
"7453","NC_031768.1",114044704,"NC_031768.1_114044704","Up- or downstream"
"7454","NC_031768.1",114044714,"NC_031768.1_114044714","Up- or downstream"
"7455","NC_031768.1",114044724,"NC_031768.1_114044724","Up- or downstream"
"7456","NC_031768.1",114044734,"NC_031768.1_114044734","Up- or downstream"
"7457","NC_031768.1",114044744,"NC_031768.1_114044744","Up- or downstream"
"7458","NC_031768.1",114044762,"NC_031768.1_114044762","Up- or downstream"
"7459","NC_031768.1",114044772,"NC_031768.1_114044772","Up- or downstream"
"7460","NC_031768.1",114044782,"NC_031768.1_114044782","Up- or downstream"
"7461","NC_031768.1",114044795,"NC_031768.1_114044795","Up- or downstream"
"7462","NC_031768.1",114044803,"NC_031768.1_114044803","Up- or downstream"
"7463","NC_031768.1",114044812,"NC_031768.1_114044812","Up- or downstream"
"7464","NC_031768.1",114044823,"NC_031768.1_114044823","Up- or downstream"
"7465","NC_031768.1",114044833,"NC_031768.1_114044833","Up- or downstream"
"7468","NC_031768.1",114054328,"NC_031768.1_114054328","Promoter"
"7473","NC_031768.1",114054412,"NC_031768.1_114054412","Promoter"
"7477","NC_031768.1",114054443,"NC_031768.1_114054443","Promoter"
"7480","NC_031769.1",15370,"NC_031769.1_15370","Intergenic"
"7482","NC_031769.1",15440,"NC_031769.1_15440","Intergenic"
"7488","NC_031769.1",52912,"NC_031769.1_52912","Up- or downstream"
"7490","NC_031769.1",52954,"NC_031769.1_52954","Up- or downstream"
"7494","NC_031769.1",53081,"NC_031769.1_53081","Up- or downstream"
"7523","NC_031769.1",231998,"NC_031769.1_231998","Intergenic"
"7526","NC_031769.1",232006,"NC_031769.1_232006","Intergenic"
"7544","NC_031769.1",406316,"NC_031769.1_406316","Intergenic"
"7583","NC_031769.1",435041,"NC_031769.1_435041","Gene body"
"7584","NC_031769.1",435060,"NC_031769.1_435060","Gene body"
"7585","NC_031769.1",435076,"NC_031769.1_435076","Gene body"
"7586","NC_031769.1",435078,"NC_031769.1_435078","Gene body"
"7587","NC_031769.1",435088,"NC_031769.1_435088","Gene body"
"7588","NC_031769.1",435228,"NC_031769.1_435228","Gene body"
"7621","NC_031769.1",504086,"NC_031769.1_504086","Gene body"
"7622","NC_031769.1",504095,"NC_031769.1_504095","Gene body"
"7623","NC_031769.1",504137,"NC_031769.1_504137","Gene body"
"7625","NC_031769.1",507615,"NC_031769.1_507615","Gene body"
"7626","NC_031769.1",507631,"NC_031769.1_507631","Gene body"
"7627","NC_031769.1",574268,"NC_031769.1_574268","Intergenic"
"7644","NC_031769.1",691727,"NC_031769.1_691727","Intergenic"
"7645","NC_031769.1",691729,"NC_031769.1_691729","Intergenic"
"7647","NC_031769.1",691756,"NC_031769.1_691756","Intergenic"
"7648","NC_031769.1",728694,"NC_031769.1_728694","Intergenic"
"7654","NC_031769.1",774104,"NC_031769.1_774104","Intergenic"
"7681","NC_031769.1",835233,"NC_031769.1_835233","Intergenic"
"7682","NC_031769.1",855897,"NC_031769.1_855897","Gene body"
"7685","NC_031769.1",860369,"NC_031769.1_860369","Up- or downstream"
"7686","NC_031769.1",881408,"NC_031769.1_881408","Gene body"
"7688","NC_031769.1",881598,"NC_031769.1_881598","Gene body"
"7689","NC_031769.1",890615,"NC_031769.1_890615","Gene body"
"7691","NC_031769.1",920666,"NC_031769.1_920666","Intergenic"
"7692","NC_031769.1",920774,"NC_031769.1_920774","Intergenic"
"7696","NC_031769.1",1011500,"NC_031769.1_1011500","Up- or downstream"
"7712","NC_031769.1",1019406,"NC_031769.1_1019406","Promoter"
"7717","NC_031769.1",1019471,"NC_031769.1_1019471","Promoter"
"7749","NC_031769.1",1035730,"NC_031769.1_1035730","Gene body"
"7750","NC_031769.1",1035766,"NC_031769.1_1035766","Gene body"
"7758","NC_031769.1",1053830,"NC_031769.1_1053830","Up- or downstream"
"7763","NC_031769.1",1061981,"NC_031769.1_1061981","Up- or downstream"
